Oper Day,Interval Ending,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST,ts,Creation_Date,Update_Date
04/17/2024,15,25.45,27.48,29.17,17.94,-14.75,37.89,33.36,32.53,42.77,27.67,37.74,17.34,17.25,39.04,67.0,2024-04-17 00:15:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,30,20.44,20.88,21.77,18.16,-15.73,23.19,24.86,22.48,24.05,20.92,23.16,17.96,17.62,22.98,38.25,2024-04-17 00:30:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,45,19.71,19.71,21.02,17.81,-17.17,21.06,25.49,20.88,21.47,19.74,21.02,17.65,17.3,20.31,41.27,2024-04-17 00:45:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,100,17.98,17.91,19.38,15.99,-19.91,19.28,24.34,19.08,19.69,17.94,19.21,15.83,15.48,18.61,42.03,2024-04-17 01:00:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,115,16.82,16.97,18.19,14.7,-20.48,18.76,22.31,18.21,19.39,17.01,18.62,14.55,14.19,19.26,40.25,2024-04-17 01:15:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,130,15.66,15.62,17.09,13.55,-19.0,17.28,21.9,16.64,17.89,15.66,17.05,13.41,13.1,18.21,43.34,2024-04-17 01:30:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,145,14.72,14.59,16.2,12.57,-19.48,16.22,21.43,15.53,16.84,14.63,15.95,12.44,12.14,17.33,44.79,2024-04-17 01:45:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,200,13.27,13.02,14.81,11.11,-19.63,14.58,20.51,13.84,15.19,13.05,14.25,10.98,10.72,15.94,46.23,2024-04-17 02:00:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,215,13.87,13.99,15.11,11.95,-19.6,15.61,18.89,15.08,16.18,14.03,15.47,11.81,11.49,16.12,35.37,2024-04-17 02:15:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,230,13.96,14.13,15.16,12.07,-19.57,15.76,18.68,15.26,16.33,14.17,15.64,11.93,11.61,16.15,33.86,2024-04-17 02:30:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,245,13.21,13.46,14.27,11.5,-18.27,14.99,17.12,14.58,15.51,13.49,14.92,11.37,11.05,15.17,29.14,2024-04-17 02:45:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,300,12.55,12.56,13.22,11.57,-3.94,13.35,15.39,13.06,13.64,12.58,13.26,11.5,11.35,13.73,24.93,2024-04-17 03:00:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,315,12.23,12.09,12.71,11.6,3.41,12.5,14.65,12.25,12.67,12.1,12.38,11.57,11.5,13.03,23.54,2024-04-17 03:15:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,330,12.0,11.69,12.23,11.81,12.72,11.62,13.79,11.45,11.65,11.68,11.48,11.83,11.87,12.31,21.39,2024-04-17 03:30:00,2024-04-17 14:20:26,2024-04-17 14:20:34
04/17/2024,345,12.19,11.85,12.49,11.92,12.79,11.85,14.33,11.66,11.89,11.85,11.71,11.93,11.97,12.47,21.76,2024-04-17 03:45:00,2024-04-17 14:20:26,2024-04-17 14:20:34
